"","logistic probs"
"1",2.63136272690001e-06
"3",2.63136272690001e-06
"4",2.63136272690001e-06
"5",2.63136272690001e-06
"6",2.63136272690001e-06
"7",2.63136272690001e-06
"13",2.63136272690001e-06
"17",2.63136272690001e-06
"18",0.00783065119560912
"21",0.0935441722229491
"22",0.144950252565488
"23",0.0390068057973294
"25",0.0110762245963892
"26",0.0569963864964439
"27",0.0981510731786095
"28",0.00789980076150693
"30",0.0279752832271788
"32",0.0783872787788922
"33",0.0589317323768292
"34",0.0909253181329507
"35",0.095669429034374
"36",0.0385444068612089
"37",0.112582016268309
"40",0.0746431966928207
"42",0.0293240127114925
"43",0.0791262572282421
"44",0.0515300122326013
"48",0.118531289166779
"49",0.0863867303045352
"50",0.0193442321618609
"52",0.0373157021485252
"55",0.0563803607535254
"56",0.0532902334157363
"60",0.0809532032552667
"61",0.110126805748659
"62",0.0307329716811326
"66",0.0149647707080121
"68",0.113328067242046
"69",0.0311046922180124
"70",0.0102062768182215
"75",0.0200856854554381
"76",0.127702165004469
"77",0.00800466248182533
"79",0.05209596771346
"80",0.0573307068066796
"82",0.153555786660804
"83",0.0519081743040361
"85",0.0880588376390186
"87",0.00762008127441781
"88",0.0949054971742018
"89",0.0893266659560804
"90",0.0328601040877515
"94",0.046589612206097
"98",0.0711698193345438
"101",0.05209596771346
"104",0.0278070975351818
"105",0.0163757925426377
"106",0.0904356572259658
"108",0.0366748703630584
"111",0.0559107604036817
"113",0.0784188943632519
"114",0.116573454682791
"118",0.051746996037814
"119",0.0109411539143112
"120",0.0380548196025723
"121",0.022980989876275
"123",0.0560043851465074
"125",0.0077826041349217
"127",0.0377221409908146
"129",0.0639365147418152
"130",0.014539760977882
"135",0.134288028355731
"136",0.0692036825781388
"139",0.0931992853097023
"140",0.0949054971742018
"141",0.0914393556627387
"144",0.220409642701732
"145",0.0748453586952968
"146",0.0476478080254861
"148",0.010845673411782
"149",0.0769397239429705
"157",0.0144637743066328
"158",0.0803618142942873
"161",0.0705281368548931
"163",0.15669147341609
"164",0.00540549033836863
"166",0.0346813550624899
"169",0.0502334451774498
"170",0.191191852275542
"171",0.076581682930929
"172",0.0111737118417621
